key,english,chinese,malay,tamil
misc_director_notified,"Director Notified",,,
s1_aria_select_language,"Select Language",,,
s1_aria_show_password,"Show password",,,
s1_aria_show_password,"Show password",,,
s1_solace_dignity_care_middot_singapore,"Solace Dignity Care &middot; Singapore",,,
s1_1_what_we_collect,"1. What We Collect",,,
s1_account_details_name_username_email_or,"Account details (name, username, email or phone), arrangement selections, deceased loved one's details entered during consultation, messages with our assistant, and digital signature image.",,,
s1_2_why_we_collect_this_information,"2. Why We Collect This Information",,,
s1_to_prepare_transparent_quotations_with_guaranteed,"To prepare transparent quotations with guaranteed pricing, to allow our funeral directors to follow up and assist in emergencies, and to let your family resume saved arrangements securely.",,,
s1_3_conversational_assistant_amp_ai_safety,"3. Conversational Assistant &amp; AI Safety",,,
s1_messages_are_processed_by_an_assistant,"Messages are processed by an assistant to guide intake step-by-step. Authorized human directors may review conversations to assist. Sensitive identifiers like NRIC/FIN and payment card numbers are masked automatically and are never required.",,,
s1_4_data_retention_amp_deletion,"4. Data Retention &amp; Deletion",,,
s1_records_are_retained_only_for_as,"Records are retained only for as long as required for memorial coordination and Singapore statutory obligations. You may request account closure and draft deletion at any time.",,,
s1_5_who_sees_your_information,"5. Who Sees Your Information",,,
s1_restricted_strictly_to_authorized_solace_director,"Restricted strictly to authorized Solace directors and care coordinators. Bereavement data is never sold, rented, or shared with third-party advertisers.",,,
s1_6_your_rights_under_the_pdpa,"6. Your Rights Under the PDPA",,,
s1_you_have_the_right_to_request,"You have the right to request access, correction, or withdrawal of consent under the Singapore Personal Data Protection Act.",,,
s1_7_contact,"7. Contact",,,
s1_data_protection_officer_privacy_solace_sg,"Data Protection Officer: privacy@solace.sg.",,,
s1_create_account_amp_begin,"Create Account &amp; Begin",,,
s3_exit_to_ai,"✕ Exit to AI",,,
s3_aria_conversation_with_hannah,"Conversation with Hannah",,,
s3_aria_more_actions,"More actions",,,
s3_aria_type_your_message_to_the_assistant,"Type your message to the assistant",,,
s3_aria_speak_your_message,"Speak your message",,,
s3_aria_send_message,"Send message",,,
s5_database_compliance_signature,"Database Compliance Signature:",,,
s5_pending,"Pending",,,
s6_aria_select_language,"Select Language",,,
s6_none,"None",,,
s6_not_linked,"Not linked",,,
s6_pdpa_singapore_v1_0,"PDPA Singapore v1.0",,,
terms_terms_amp_privacy_notice,"Terms &amp; Privacy Notice",,,
terms_singapore_pdpa_compliance,"Singapore PDPA Compliance",,,
btn_close_terms_aria_close_terms,"Close Terms",,,
btn_close_terms_v1_0_middot_14_aug_2026,"v1.0 &middot; 14 Aug 2026",,,
btn_close_consultant_aria_close_modal,"Close modal",,,
btn_close_consultant_personal_care_assistance,"Personal Care Assistance",,,
btn_close_consultant_ph_e_g_kelvin_tan,"e.g. Kelvin Tan",,,
btn_close_consultant_optional,"(Optional)",,,
btn_close_consultant_ph_e_g_kelvin_example_sg,"e.g. kelvin@example.sg",,,
btn_close_consultant_reason_for_request,"Reason for Request",,,
btn_close_consultant_optional_2,"(Optional)",,,
btn_close_consultant_ph_e_g_inquiring_about_buddhist,"e.g. Inquiring about Buddhist 3-day coordination...",,,
btn_close_consultant_ai_conversation_handoff,"AI Conversation Handoff",,,
