kind,sensitivity,english,chinese,malay,tamil
desc,standard,A serene ocean send-off. The cortege boards a private charter vessel departing Marina South Pier or Changi to designated maritime coordinates south of Pulau Semakau.,,,
desc,standard,A timeless personal heirloom. Micro-encapsulates a small pinch of your loved one's cremated ashes within an airtight 925 sterling silver or 18k gold-plated memorial pendant.,,,
desc,standard,"A warm, personal, and uplifting celebration focusing purely on memories, life achievements, stories, and family togetherness without religious doctrines.",,,
desc,standard,"An essential, respectful direct cremation service designed for families seeking simplicity, rapid arrangement, or with budget constraints. Includes dignified transfer from hospital or residence, NEA Mandai cremation booking, and essential casket.",,,
desc,standard,Arrangement for eternal enshrinement in government (Mandai / Choa Chu Kang) or premium private columbarium memorial walls with custom engraved marble or granite plaques.,,,
desc,standard,"Celebrates the life story of your loved one through a beautifully edited video retrospective featuring milestone photographs, family memories, and peaceful background score.",,,
desc,standard,"Complete catering service ensuring all visiting relatives and friends are warmly accommodated with fresh hot meals, insulated beverage urns, and daily snacks.",,,
desc,RELIGIOUS - needs faith-literate reviewer,"Complete dialect-specific Taoist rituals (Hokkien, Teochew, Cantonese, Hakka, Hainanese) with certified Taoist priests, paper craft mansion offerings, and bridge crossing rites.",,,
desc,standard,Crafted from sustainably sourced plantation softwood with biodegradable adhesive and fittings. Optimized for minimal carbon footprint during cremation while maintaining classic dignity.,,,
desc,standard,Dedicated emotional support provided by certified bereavement counselors to help family members navigate the complex emotional stages of grief and loss.,,,
desc,standard,"Elevated memorial service featuring curated floral backdrop styling, dedicated on-site assistants, and our signature Mercedes-Benz glass viewing hearse for the final journey.",,,
desc,standard,"Enables overseas family members and distant loved ones to join the memorial and funeral services live via a private, password-protected high-definition video stream.",,,
desc,standard,"Exclusive air-conditioned memorial parlour hall offering complete privacy, quiet dignity, comfortable lounge seating, private family rest suite, and clean restroom facilities.",,,
desc,standard,"Full traditional 7-day memorial period accommodating multi-night religious ceremonies, extended visiting hours, and grand processions.",,,
desc,RELIGIOUS - needs faith-literate reviewer,"Graceful Christian memorial service adhering to Protestant or Evangelical traditions with pastoral coordination, wooden cross backdrop, and customized hymn programs.",,,
desc,standard,"Handcrafted fresh floral photo frame and full casket blanket spray designed by senior florists using premium white lilies, cymbidium orchids, and pale chrysanthemums.",,,
desc,standard,Meticulously built from solid natural oak with rich walnut staining and high-gloss protective lacquer. Accented with heavy-gauge solid brass fittings and luxurious quilted velvet interior.,,,
desc,standard,"Our finest heirloom casket. Handcrafted by master carpenters from seasoned Burmese teak timber, celebrated for its exquisite natural golden grain, timeless durability, and satin luster.",,,
desc,standard,"Our highest level of tribute. Complete white-glove concierge execution with bespoke grand floral installations, Mitsuoka royal hearse, dedicated senior director leadership, and comprehensive family care.",,,
desc,standard,"Our most popular balanced package. Provides complete end-to-end memorial coordination for HDB void decks or parlours, ensuring all ceremonial standards, paperwork, and logistics are respectfully managed.",,,
desc,RELIGIOUS - needs faith-literate reviewer,Peaceful Soka Gakkai International (SGI) memorial service centered on the chanting of Nam-myoho-renge-kyo and the Lotus Sutra to honor the deceased's eternal dignity.,,,
desc,standard,Professional guidance and drafting of legally recognized Will and Lasting Power of Attorney (LPA) documents by certified estate planners.,,,
desc,standard,"Provides total peace of mind for the family by placing a licensed, vigilant security officer on watch throughout the night hours to safeguard personal belongings and joss urns.",,,
desc,standard,"Quiet, dignified secular ceremony designed to give family and close friends peaceful space for reflection, quiet remembrance, and respectful send-off.",,,
